Location,Bed,Bath,To-let From,Rent,Title,Region
"Munshi Para, Rangpur Sadar",2,2,June Rent ,11500,"Family Flat Rent Munshi Para, Rangpur Sadar",Rangpur
"Jummapara, Rangpur Sadar",2,2,June Rent ,9500,"Family House Rent Jummapara, Rangpur Sadar",Rangpur
"Dinajpur Sadar, Dinajpur",1,1,June Rent ,2500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Hazipara, Thakurgaon Sadar",2,2,June Rent ,6500,"Family Flat Rent Hazipara, Thakurgaon Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,1,June Rent ,5500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Kamar Para, Rangpur Sadar",2,2,July Rent ,6000,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Kamar Para, Rangpur Sadar",1,1,June Rent ,1000,"Bachelor Seat Rent Kamar Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",1,1,June Rent ,1200,"Bachelor Seat Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,June Rent ,6000,"Family Flat Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,June Rent ,3000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,June Rent ,2500,"Family Unit Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,June Rent ,1500,"Bachelor Seat Rent Rangpur Sadar, Rangpur",Rangpur
"Darshana More, Rangpur Sadar",2,1,June Rent ,5000,"Family House Rent Darshana More, Rangpur Sadar",Rangpur
"Munshi Para, Rangpur Sadar",2,2,June Rent ,11500,"Family House Rent Munshi Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",3,3,July Rent ,17000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,June Rent ,8000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",N/A,1,June Rent ,1500,"Sublet Room Rent Rangpur Sadar, Rangpur Room: 1, Bath: 1 To-let from:
                                June Rent : 1500 BDT Save Property Add to Compare",Rangpur
"Rangpur Sadar, Rangpur",2,2,June Rent ,3500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,June Rent ,4700,"Family Room Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,June Rent ,4000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Mulatol, Rangpur Sadar",1,1,June Rent ,2800,"Bachelor House Rent Mulatol, Rangpur Sadar",Rangpur
"Munshi Para, Rangpur Sadar",2,2,May Rent ,8000,"Family House Rent Munshi Para, Rangpur Sadar",Rangpur
"Alomnagar, Rangpur Sadar",3,2,June Rent ,10000,"Family House Rent Alomnagar, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",N/A,1,June Rent ,3000,"Sublet Room Rent Rangpur Sadar, Rangpur Room: 1, Bath: 1 To-let from:
                                June Rent : 3000 BDT Save Property Add to Compare",Rangpur
"Khalifa Para, Rangpur Sadar",3,2,June Rent ,10000,"Family House Rent Khalifa Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,June Rent ,5500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,June Rent ,6000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",3,2,June Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Mulatol, Rangpur Sadar",2,2,June Rent ,5500,"Family House Rent Mulatol, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",1,1,June Rent ,3000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,June Rent ,7500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",3,2,June Rent ,12000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,May Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Dinajpur Sadar, Dinajpur",3,2,June Rent ,7000,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,1,June Rent ,6000,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Dinajpur Sadar, Dinajpur",3,1,June Rent ,7000,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,June Rent ,4500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Mulatol, Rangpur Sadar",2,2,June Rent ,8000,"Family House Rent Mulatol, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,June Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Munshi Para, Rangpur Sadar",2,2,June Rent ,7500,"Family House Rent Munshi Para, Rangpur Sadar",Rangpur
"Babukha, Rangpur Sadar",2,2,June Rent ,7000,"Family House Rent Babukha, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,1,June Rent ,5000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,2,June Rent ,4700,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,1,May Rent ,4500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,May Rent ,3000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",3,2,May Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Shatgara Mistree Paara, Rangpur Sadar",2,2,May Rent ,5000,"Family House Rent Shatgara Mistree Paara, Rangpur Sadar",Rangpur
"Kamar Para, Rangpur Sadar",1,1,May Rent ,3000,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",N/A,1,May Rent ,3500,"Sublet Room Rent Rangpur Sadar, Rangpur Room: 1, Bath: 1 To-let from:
                                May Rent : 3500 BDT Save Property Add to Compare",Rangpur
"Alomnagar, Rangpur Sadar",3,3,May Rent ,8000,"Family House Rent Alomnagar, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,May Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,May Rent ,5000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Fakirpara, Dinajpur Sadar",1,1,April Rent ,3500,"Bachelor Room Rent Fakirpara, Dinajpur Sadar",Rangpur
"Fakirpara, Dinajpur Sadar",2,2,April Rent ,6000,"Family House Rent Fakirpara, Dinajpur Sadar",Rangpur
"Boshirpara, Thakurgaon Sadar",2,1,May Rent ,5500,"Family House Rent Boshirpara, Thakurgaon Sadar",Rangpur
"Rangpur Sadar, Rangpur",1,1,May Rent ,1800,"Bachelor Seat Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,May Rent ,5500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,May Rent ,8000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,April Rent ,3000,"Bachelor Room Rent Rangpur Sadar, Rangpur",Rangpur
"Kamar Para, Rangpur Sadar",1,1,May Rent ,4000,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Dinajpur Sadar, Dinajpur",2,2,May Rent ,4500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,1,May Rent ,4600,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,May Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Khalifa Para, Rangpur Sadar",2,2,May Rent ,6500,"Family House Rent Khalifa Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,May Rent ,10000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Kamar Para, Rangpur Sadar",2,2,April Rent ,8000,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,April Rent ,10000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Kamal Kachna, Rangpur Sadar",2,2,May Rent ,6500,"Family House Rent Kamal Kachna, Rangpur Sadar",Rangpur
"Khalifa Para, Rangpur Sadar",2,2,April Rent ,6000,"Family House Rent Khalifa Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,May Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,April Rent ,6500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",3,2,April Rent ,14000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Gaibandha sadar, Gaibandha",3,3,April Rent ,5000,"Family House Rent Gaibandha sadar, Gaibandha",Rangpur
"Mulatol, Rangpur Sadar",2,1,April Rent ,5500,"Family House Rent Mulatol, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,1,April Rent ,6000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,2,April Rent ,5500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,2,April Rent ,4500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Lalbag, Rangpur Sadar",2,2,April Rent ,8000,"Family House Rent Lalbag, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,1,April Rent ,5000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Kamar Para, Rangpur Sadar",2,2,April Rent ,5000,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,April Rent ,6000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,April Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,April Rent ,3000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,1,April Rent ,4000,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,2,April Rent ,7500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Dinajpur Sadar, Dinajpur",3,2,April Rent ,7500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,2,April Rent ,3500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Gaibandha sadar, Gaibandha",1,1,March Rent ,2500,"Bachelor House Rent Gaibandha sadar, Gaibandha",Rangpur
"Khalifa Para, Rangpur Sadar",2,1,April Rent ,6000,"Family House Rent Khalifa Para, Rangpur Sadar",Rangpur
"Darshana More, Rangpur Sadar",2,2,April Rent ,8000,"Family House Rent Darshana More, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,April Rent ,6000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,March Rent ,5500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,March Rent ,12000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,April Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,March Rent ,5000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",3,2,March Rent ,10000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",3,2,March Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Darshana More, Rangpur Sadar",2,1,March Rent ,5000,"Family House Rent Darshana More, Rangpur Sadar",Rangpur
"Dinajpur Sadar, Dinajpur",1,1,March Rent ,3500,"Family Room Rent Dinajpur Sadar, Dinajpur",Rangpur
"Rangpur Sadar, Rangpur",3,2,March Rent ,10000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Ganeshpur, Rangpur Sadar",2,1,March Rent ,2600,"Family House Rent Ganeshpur, Rangpur Sadar",Rangpur
"Lalbag, Rangpur Sadar",2,1,March Rent ,4000,"Family House Rent Lalbag, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,March Rent ,2500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,March Rent ,1750,"Bachelor Seat Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,March Rent ,8000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Dinajpur Sadar, Dinajpur",1,1,March Rent ,750,"Bachelor Seat Rent Dinajpur Sadar, Dinajpur",Rangpur
"Babukha, Rangpur Sadar",1,1,March Rent ,4000,"Family House Rent Babukha, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,February Rent ,8500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Thakurgaon Sadar, Thakurgaon",2,2,March Rent ,5500,"Family House Rent Thakurgaon Sadar, Thakurgaon",Rangpur
"Kamar Para, Rangpur Sadar",2,2,March Rent ,8000,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",1,1,March Rent ,5000,"Bachelor Room Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,March Rent ,6000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,March Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,March Rent ,8000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Mulatol, Rangpur Sadar",3,3,March Rent ,13000,"Family House Rent Mulatol, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,March Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,March Rent ,4700,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Dinajpur Sadar, Dinajpur",1,1,March Rent ,750,"Bachelor Seat Rent Dinajpur Sadar, Dinajpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,March Rent ,2000,"Bachelor Room Rent Rangpur Sadar, Rangpur",Rangpur
"New Jummapara, Rangpur Sadar",1,1,March Rent ,3000,"Family Room Rent New Jummapara, Rangpur Sadar",Rangpur
"Darshana More, Rangpur Sadar",3,1,March Rent ,13000,"Family House Rent Darshana More, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",1,1,February Rent ,3500,"Family Room Rent Rangpur Sadar, Rangpur",Rangpur
"Kamar Para, Rangpur Sadar",2,1,March Rent ,5500,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Kamar Para, Rangpur Sadar",2,2,March Rent ,6500,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",1,1,March Rent ,3500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Shatgara Mistree Paara, Rangpur Sadar",2,1,February Rent ,5600,"Family House Rent Shatgara Mistree Paara, Rangpur Sadar",Rangpur
"Babukha, Rangpur Sadar",2,2,March Rent ,6000,"Family House Rent Babukha, Rangpur Sadar",Rangpur
"Jummapara, Rangpur Sadar",2,1,February Rent ,5500,"Family House Rent Jummapara, Rangpur Sadar",Rangpur
"Kamar Para, Rangpur Sadar",2,1,February Rent ,3500,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,February Rent ,6500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Shantidhara, Rangpur Sadar",2,2,March Rent ,8500,"Family House Rent Shantidhara, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,1,February Rent ,5000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,March Rent ,7500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,February Rent ,5000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Ashratpur, Rangpur Sadar",1,1,February Rent ,2500,"Family House Rent Ashratpur, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",1,1,February Rent ,2500,"Bachelor Room Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",N/A,1,February Rent ,11400,"Office House Rent Rangpur Sadar, Rangpur Room: 2, Bath: 1 To-let from:
                                February Rent : 11400 BDT Save Property Add to Compare",Rangpur
"Rangpur Sadar, Rangpur",N/A,1,February Rent ,3000,"Sublet Room Rent Rangpur Sadar, Rangpur Room: 1, Bath: 1 To-let from:
                                February Rent : 3000 BDT Save Property Add to Compare",Rangpur
"Rangpur Sadar, Rangpur",2,2,March Rent ,8500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,February Rent ,8500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",3,1,February Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,February Rent ,5000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Jummapara, Rangpur Sadar",2,1,February Rent ,6000,"Family House Rent Jummapara, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,March Rent ,9000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,February Rent ,5700,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,1,February Rent ,5500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Munshi Para, Rangpur Sadar",2,2,February Rent ,6500,"Family House Rent Munshi Para, Rangpur Sadar",Rangpur
"Kotkipara, Rangpur Sadar",2,2,March Rent ,8000,"Family House Rent Kotkipara, Rangpur Sadar",Rangpur
"Dinajpur Sadar, Dinajpur",N/A,1,February Rent ,2500,"Sublet Room Rent Dinajpur Sadar, Dinajpur Room: 1, Bath: 1 To-let from:
                                February Rent : 2500 BDT Save Property Add to Compare",Rangpur
"Lalbag, Rangpur Sadar",2,1,February Rent ,5000,"Family House Rent Lalbag, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",N/A,1,February Rent ,6500,"Sublet Room Rent Rangpur Sadar, Rangpur Room: 1, Bath: 1 To-let from:
                                February Rent : 6500 BDT Save Property Add to Compare",Rangpur
"Rangpur Sadar, Rangpur",3,2,February Rent ,10500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Ramnagar, Dinajpur Sadar",3,2,February Rent ,5000,"Family House Rent Ramnagar, Dinajpur Sadar",Rangpur
"Hazipara, Thakurgaon Sadar",2,2,February Rent ,6000,"Family House Rent Hazipara, Thakurgaon Sadar",Rangpur
"Rangpur Sadar, Rangpur",N/A,1,February Rent ,6500,"Sublet Room Rent Rangpur Sadar, Rangpur Room: 1, Bath: 1 To-let from:
                                February Rent : 6500 BDT Save Property Add to Compare",Rangpur
"Khalifa Para, Rangpur Sadar",2,1,February Rent ,6000,"Family House Rent Khalifa Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,February Rent ,8500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Babukha, Rangpur Sadar",2,1,February Rent ,4500,"Family House Rent Babukha, Rangpur Sadar",Rangpur
"Darshana More, Rangpur Sadar",1,1,February Rent ,3000,"Family House Rent Darshana More, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,February Rent ,6000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Gomostapara, Rangpur Sadar",2,1,February Rent ,6500,"Family House Rent Gomostapara, Rangpur Sadar",Rangpur
"Munshipara, Dinajpur Sadar",2,2,February Rent ,8000,"Family House Rent Munshipara, Dinajpur Sadar",Rangpur
"Fakirpara, Dinajpur Sadar",3,2,February Rent ,9000,"Family House Rent Fakirpara, Dinajpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",3,2,January Rent ,7000,"Bachelor House Rent Rangpur Sadar, Rangpur",Rangpur
"Kamal Kachna, Rangpur Sadar",2,2,February Rent ,6000,"Family House Rent Kamal Kachna, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",1,1,January Rent ,3600,"Bachelor Room Rent Rangpur Sadar, Rangpur",Rangpur
"Kamar Para, Rangpur Sadar",1,1,February Rent ,4000,"Family Unit Rent Kamar Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,1,February Rent ,6500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,January Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,February Rent ,8000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,January Rent ,2500,"Bachelor Room Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,February Rent ,4000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,2,January Rent ,7500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,February Rent ,8000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Keranipara, Rangpur Sadar",2,2,February Rent ,8500,"Family House Rent Keranipara, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",3,2,January Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,2,January Rent ,4500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,January Rent ,7000,"Family Flat Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",N/A,1,January Rent ,3000,"Sublet Seat Rent Rangpur Sadar, Rangpur Seat: 1, Bath: 1 To-let from:
                                January Rent : 3000 BDT Save Property Add to Compare",Rangpur
"Kamar Para, Rangpur Sadar",2,1,January Rent ,5000,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Dinajpur Sadar, Dinajpur",2,1,January Rent ,3200,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,January Rent ,7500,"Family Flat Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,January Rent ,7000,"Family Flat Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,January Rent ,5000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Kamar Para, Rangpur Sadar",2,2,January Rent ,7500,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,January Rent ,7000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Dinajpur Sadar, Dinajpur",2,2,December Rent ,5500,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Dinajpur Sadar, Dinajpur",1,1,December Rent ,4000,"Family House Rent Dinajpur Sadar, Dinajpur",Rangpur
"Ramnagar, Dinajpur Sadar",2,2,December Rent ,5200,"Family House Rent Ramnagar, Dinajpur Sadar",Rangpur
"Panchagarh Sadar, Panchagarh",2,1,December Rent ,3000,"Family House Rent Panchagarh Sadar, Panchagarh",Rangpur
"Panchagarh Sadar, Panchagarh",2,2,January Rent ,6000,"Family House Rent Panchagarh Sadar, Panchagarh",Rangpur
"Thakurgaon Sadar, Thakurgaon",3,2,December Rent ,6500,"Bachelor House Rent Thakurgaon Sadar, Thakurgaon",Rangpur
"Babukha, Rangpur Sadar",2,1,January Rent ,5500,"Family House Rent Babukha, Rangpur Sadar",Rangpur
"Kamar Para, Rangpur Sadar",2,2,January Rent ,8500,"Family House Rent Kamar Para, Rangpur Sadar",Rangpur
"Mulatol, Rangpur Sadar",2,1,January Rent ,6000,"Family House Rent Mulatol, Rangpur Sadar",Rangpur
"Alomnagar, Rangpur Sadar",2,2,December Rent ,7000,"Family House Rent Alomnagar, Rangpur Sadar",Rangpur
"Islambag, Rangpur Sadar",2,2,December Rent ,14000,"Family House Rent Islambag, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",1,1,January Rent ,4700,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Guratipara, Rangpur Sadar",1,1,December Rent ,4000,"Family House Rent Guratipara, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",3,2,January Rent ,7000,"Bachelor Flat Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,January Rent ,3500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,December Rent ,3000,"Bachelor House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,December Rent ,7500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,January Rent ,5000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,December Rent ,6000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Darshana More, Rangpur Sadar",2,2,January Rent ,7500,"Family House Rent Darshana More, Rangpur Sadar",Rangpur
"Mulatol, Rangpur Sadar",2,2,December Rent ,7000,"Family House Rent Mulatol, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",N/A,1,December Rent ,5000,"Sublet Room Rent Rangpur Sadar, Rangpur Room: 1, Bath: 1 To-let from:
                                December Rent : 5000 BDT Save Property Add to Compare",Rangpur
"Alomnagar, Rangpur Sadar",3,3,December Rent ,7500,"Family House Rent Alomnagar, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",1,1,December Rent ,3000,"Bachelor House Rent Rangpur Sadar, Rangpur",Rangpur
"Kamar Para, Rangpur Sadar",3,1,December Rent ,6500,"Family Flat Rent Kamar Para, Rangpur Sadar",Rangpur
"Bou Bazar, Rangpur Sadar",2,2,January Rent ,7000,"Family House Rent Bou Bazar, Rangpur Sadar",Rangpur
"Lalbag, Rangpur Sadar",1,1,December Rent ,3500,"Family House Rent Lalbag, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",2,2,December Rent ,6500,"Family Flat Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,1,December Rent ,4000,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Mulatol, Rangpur Sadar",1,1,January Rent ,4500,"Family Flat Rent Mulatol, Rangpur Sadar",Rangpur
"Rangpur Sadar, Rangpur",1,1,December Rent ,2500,"Family Room Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",1,1,December Rent ,1500,"Bachelor Seat Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",2,2,November Rent ,6500,"Family House Rent Rangpur Sadar, Rangpur",Rangpur
"Rangpur Sadar, Rangpur",N/A,1,December Rent ,2500,"Sublet Room Rent Rangpur Sadar, Rangpur Room: 1, Bath: 1 To-let from:
                                December Rent : 2500 BDT Save Property Add to Compare",Rangpur
"New Jummapara, Rangpur Sadar",1,1,December Rent ,3000,"Family House Rent New Jummapara, Rangpur Sadar",Rangpur
