Location,Bed,Bath,To-let From,Rent,Title,Region,Month,SubArea,PropertyType
"Shibgonj, Sylhet Sadar",2,1,August Rent ,7500,"Family House Rent Shibgonj, Sylhet Sadar",Sylhet,8,Shibgonj,Family
"Dorga moholla, Moulvibazar Sadar",0,1,August Rent ,5000,"Sublet Room Rent Dorga moholla, Moulvibazar Sadar Room: 1, Bath: 1 To-let from:
                                August Rent : 5000 BDT Save Property Add to Compare",Sylhet,8,Dorga moholla,Sublet
"Moulvibazar Sadar, Maulvibazar",0,1,August Rent ,4250,"Sublet Room Rent Moulvibazar Sadar, Maulvibazar Room: 1, Bath: 1 To-let from:
                                August Rent : 4250 BDT Save Property Add to Compare",Sylhet,8,Moulvibazar Sadar,Sublet
"Moulvibazar Sadar, Maulvibazar",0,1,August Rent ,4000,"Sublet Room Rent Moulvibazar Sadar, Maulvibazar Room: 1, Bath: 1 To-let from:
                                August Rent : 4000 BDT Save Property Add to Compare",Sylhet,8,Moulvibazar Sadar,Sublet
"Khasdabir, Sylhet Sadar",2,2,August Rent ,28000,"Family Flat Rent Khasdabir, Sylhet Sadar",Sylhet,8,Khasdabir,Family
"Hazrat Shah Paran, Sylhet",2,1,August Rent ,5500,"Family House Rent Hazrat Shah Paran, Sylhet",Sylhet,8,Hazrat Shah Paran,Family
"Upashahar, Sylhet Sadar",1,1,July Rent ,2500,"Bachelor Seat Rent Upashahar, Sylhet Sadar",Sylhet,7,Upashahar,Bachelor Seat
"Moulvibazar Sadar, Maulvibazar",2,2,August Rent ,6000,"Family Unit Rent Moulvibazar Sadar, Maulvibazar",Sylhet,8,Moulvibazar Sadar,Family
"Kazir Gaon, Moulvibazar Sadar",3,2,August Rent ,9000,"Family House Rent Kazir Gaon, Moulvibazar Sadar",Sylhet,8,Kazir Gaon,Family
"Upashahar, Sylhet Sadar",2,2,August Rent ,14000,"Family Flat Rent Upashahar, Sylhet Sadar",Sylhet,8,Upashahar,Family
"Hazrat Shah Paran, Sylhet",1,1,July Rent ,8000,"Family House Rent Hazrat Shah Paran, Sylhet",Sylhet,7,Hazrat Shah Paran,Family
"Moulvibazar Sadar, Maulvibazar",2,2,July Rent ,8500,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,7,Moulvibazar Sadar,Family
"Sylhet Sadar, Sylhet",3,2,July Rent ,16000,"Family Flat Rent Sylhet Sadar, Sylhet",Sylhet,7,Sylhet Sadar,Family
"Moulvibazar Sadar, Maulvibazar",0,1,August Rent ,7000,"Sublet Room Rent Moulvibazar Sadar, Maulvibazar Room: 2, Bath: 1 To-let from:
                                August Rent : 7000 BDT Save Property Add to Compare",Sylhet,8,Moulvibazar Sadar,Sublet
"Moulvibazar Sadar, Maulvibazar",2,1,August Rent ,6500,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,8,Moulvibazar Sadar,Family
"Kumar Para, Sylhet Sadar",0,1,July Rent ,15450,"Office Unit Rent Kumar Para, Sylhet Sadar Room: 1, Bath: 1 To-let from:
                                July Rent : 15450 BDT Save Property Add to Compare",Sylhet,7,Kumar Para,Room
"Kumar Para, Sylhet Sadar",0,1,July Rent ,7950,"Office Unit Rent Kumar Para, Sylhet Sadar Room: 1, Bath: 1 To-let from:
                                July Rent : 7950 BDT Save Property Add to Compare",Sylhet,7,Kumar Para,Room
"Sylhet Sadar, Sylhet",2,2,July Rent ,9000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,7,Sylhet Sadar,Family
"Upashahar, Sylhet Sadar",3,2,July Rent ,17000,"Family Flat Rent Upashahar, Sylhet Sadar",Sylhet,7,Upashahar,Family
"Moulvibazar Sadar, Maulvibazar",2,2,July Rent ,12500,"Family Flat Rent Moulvibazar Sadar, Maulvibazar",Sylhet,7,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",1,1,July Rent ,3000,"Bachelor Room Rent Moulvibazar Sadar, Maulvibazar",Sylhet,7,Moulvibazar Sadar,Bachelor Room
"Moulvibazar Sadar, Maulvibazar",2,1,July Rent ,7000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,7,Moulvibazar Sadar,Family
"Sylhet Sadar, Sylhet",2,1,July Rent ,6500,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,7,Sylhet Sadar,Family
"Sultanpur, Moulvibazar Sadar",2,1,July Rent ,12000,"Family House Rent Sultanpur, Moulvibazar Sadar",Sylhet,7,Sultanpur,Family
"Moulvibazar Sadar, Maulvibazar",2,1,June Rent ,5000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,6,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,1,July Rent ,7000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,7,Moulvibazar Sadar,Family
"Court Road, Moulvibazar Sadar",0,1,June Rent ,4000,"Sublet Room Rent Court Road, Moulvibazar Sadar Room: 1, Bath: 1 To-let from:
                                June Rent : 4000 BDT Save Property Add to Compare",Sylhet,6,Court Road,Sublet
"Jalalabad, Sylhet",2,1,July Rent ,7000,"Bachelor Unit Rent Jalalabad, Sylhet",Sylhet,7,Jalalabad,Other
"Sylhet Sadar, Sylhet",1,1,June Rent ,4500,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,6,Sylhet Sadar,Family
"Sylhet Sadar, Sylhet",0,1,June Rent ,3500,"Sublet Room Rent Sylhet Sadar, Sylhet Room: 1, Bath: 1 To-let from:
                                June Rent : 3500 BDT Save Property Add to Compare",Sylhet,6,Sylhet Sadar,Sublet
"Ambarkhana, Sylhet Sadar",1,1,July Rent ,7000,"Family House Rent Ambarkhana, Sylhet Sadar",Sylhet,7,Ambarkhana,Family
"Lamabazar, Sylhet Sadar",2,1,July Rent ,10000,"Family Unit Rent Lamabazar, Sylhet Sadar",Sylhet,7,Lamabazar,Family
"Moulvibazar Sadar, Maulvibazar",0,1,June Rent ,4000,"Sublet Room Rent Moulvibazar Sadar, Maulvibazar Room: 1, Bath: 1 To-let from:
                                June Rent : 4000 BDT Save Property Add to Compare",Sylhet,6,Moulvibazar Sadar,Sublet
"Moulvibazar Sadar, Maulvibazar",2,2,June Rent ,7500,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,6,Moulvibazar Sadar,Family
"Upashahar, Sylhet Sadar",3,2,June Rent ,25000,"Family House Rent Upashahar, Sylhet Sadar",Sylhet,6,Upashahar,Family
"Moulvibazar Sadar, Maulvibazar",0,1,June Rent ,6500,"Sublet Room Rent Moulvibazar Sadar, Maulvibazar Room: 1, Bath: 1 To-let from:
                                June Rent : 6500 BDT Save Property Add to Compare",Sylhet,6,Moulvibazar Sadar,Sublet
"Moulvibazar Sadar, Maulvibazar",3,1,June Rent ,8000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,6,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,2,June Rent ,8500,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,6,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,1,June Rent ,6000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,6,Moulvibazar Sadar,Family
"Kowtali, Sylhet",2,4,May Rent ,2000,"Family Apartment Rent Kowtali, Sylhet",Sylhet,5,Kowtali,Family
"Airport, Sylhet",2,2,June Rent ,28000,"Family House Rent Airport, Sylhet",Sylhet,6,Airport,Family
"Jalalabad, Sylhet",2,1,June Rent ,9000,"Family House Rent Jalalabad, Sylhet",Sylhet,6,Jalalabad,Family
"Sylhet Sadar, Sylhet",2,2,June Rent ,8000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,6,Sylhet Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,1,June Rent ,5000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,6,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",0,1,June Rent ,4000,"Sublet Room Rent Moulvibazar Sadar, Maulvibazar Room: 1, Bath: 1 To-let from:
                                June Rent : 4000 BDT Save Property Add to Compare",Sylhet,6,Moulvibazar Sadar,Sublet
"Sylhet Sadar, Sylhet",2,1,May Rent ,6500,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,5,Sylhet Sadar,Family
"Sylhet Sadar, Sylhet",0,1,May Rent ,4500,"Sublet Room Rent Sylhet Sadar, Sylhet Room: 1, Bath: 1 To-let from:
                                May Rent : 4500 BDT Save Property Add to Compare",Sylhet,5,Sylhet Sadar,Sublet
"Moulvibazar Sadar, Maulvibazar",4,3,May Rent ,16000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,5,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",4,3,May Rent ,17000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,5,Moulvibazar Sadar,Family
"Upashahar, Sylhet Sadar",1,1,April Rent ,2400,"Bachelor Seat Rent Upashahar, Sylhet Sadar",Sylhet,4,Upashahar,Bachelor Seat
"Mira Bazar, Sylhet Sadar",3,3,April Rent ,17000,"Family House Rent Mira Bazar, Sylhet Sadar",Sylhet,4,Mira Bazar,Family
"Sylhet Sadar, Sylhet",2,1,May Rent ,5500,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,5,Sylhet Sadar,Family
"Kumar Para, Sylhet Sadar",3,2,May Rent ,13000,"Family House Rent Kumar Para, Sylhet Sadar",Sylhet,5,Kumar Para,Family
"Moulvibazar Sadar, Maulvibazar",3,3,April Rent ,10000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,4,Moulvibazar Sadar,Family
"Borhat, Moulvibazar Sadar",2,1,April Rent ,5000,"Family House Rent Borhat, Moulvibazar Sadar",Sylhet,4,Borhat,Family
"Sylhet Sadar, Sylhet",3,3,April Rent ,16000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,4,Sylhet Sadar,Family
"Lama Para, Sylhet Sadar",2,1,April Rent ,12000,"Bachelor House Rent Lama Para, Sylhet Sadar",Sylhet,4,Lama Para,Other
"Sylhet Sadar, Sylhet",1,1,April Rent ,7200,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,4,Sylhet Sadar,Family
"Sylhet Sadar, Sylhet",2,1,March Rent ,12080,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,3,Sylhet Sadar,Family
"Sylhet Sadar, Sylhet",3,3,March Rent ,17000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,3,Sylhet Sadar,Family
"Ambarkhana, Sylhet Sadar",1,1,March Rent ,5500,"Family House Rent Ambarkhana, Sylhet Sadar",Sylhet,3,Ambarkhana,Family
"Upashahar, Sylhet Sadar",1,1,March Rent ,2400,"Bachelor Seat Rent Upashahar, Sylhet Sadar",Sylhet,3,Upashahar,Bachelor Seat
"Sylhet Sadar, Sylhet",2,2,March Rent ,9000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,3,Sylhet Sadar,Family
"Shibgonj, Sylhet Sadar",0,1,February Rent ,6500,"Sublet Room Rent Shibgonj, Sylhet Sadar Room: 1, Bath: 1 To-let from:
                                February Rent : 6500 BDT Save Property Add to Compare",Sylhet,2,Shibgonj,Sublet
"Airport, Sylhet",2,2,March Rent ,40000,"Family House Rent Airport, Sylhet",Sylhet,3,Airport,Family
"Zindabazar, Sylhet Sadar",2,2,February Rent ,14000,"Family House Rent Zindabazar, Sylhet Sadar",Sylhet,2,Zindabazar,Family
"Kanishail, Sylhet Sadar",2,2,March Rent ,9000,"Family House Rent Kanishail, Sylhet Sadar",Sylhet,3,Kanishail,Family
"Sylhet Sadar, Sylhet",1,1,February Rent ,5200,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,2,Sylhet Sadar,Family
"Kazir Gaon, Moulvibazar Sadar",2,1,February Rent ,6000,"Bachelor House Rent Kazir Gaon, Moulvibazar Sadar",Sylhet,2,Kazir Gaon,Other
"Upashahar, Sylhet Sadar",3,4,February Rent ,25000,"Family Flat Rent Upashahar, Sylhet Sadar",Sylhet,2,Upashahar,Family
"Ambarkhana, Sylhet Sadar",1,1,February Rent ,7000,"Bachelor Room Rent Ambarkhana, Sylhet Sadar",Sylhet,2,Ambarkhana,Bachelor Room
"Kazitula, Sylhet Sadar",4,3,February Rent ,18000,"Family House Rent Kazitula, Sylhet Sadar",Sylhet,2,Kazitula,Family
"Rajnagar, Habiganj Sadar",2,2,March Rent ,9000,"Family House Rent Rajnagar, Habiganj Sadar",Sylhet,3,Rajnagar,Family
"Kalimabad, Moulvibazar Sadar",1,1,February Rent ,3500,"Bachelor Room Rent Kalimabad, Moulvibazar Sadar",Sylhet,2,Kalimabad,Bachelor Room
"Moulvibazar Sadar, Maulvibazar",2,2,February Rent ,7500,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,2,Moulvibazar Sadar,Family
"Sylhet Sadar, Sylhet",3,1,January Rent ,9500,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,1,Sylhet Sadar,Family
"Sylhet Sadar, Sylhet",2,2,January Rent ,14000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,1,Sylhet Sadar,Family
"Sylhet Sadar, Sylhet",2,2,February Rent ,13000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,2,Sylhet Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,2,January Rent ,6000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,1,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,1,January Rent ,6000,"Bachelor House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,1,Moulvibazar Sadar,Other
"Moulvibazar Sadar, Maulvibazar",0,1,January Rent ,4000,"Sublet Room Rent Moulvibazar Sadar, Maulvibazar Room: 1, Bath: 1 To-let from:
                                January Rent : 4000 BDT Save Property Add to Compare",Sylhet,1,Moulvibazar Sadar,Sublet
"Kazir Gaon, Moulvibazar Sadar",1,1,January Rent ,2000,"Bachelor Seat Rent Kazir Gaon, Moulvibazar Sadar",Sylhet,1,Kazir Gaon,Bachelor Seat
"Sylhet Sadar, Sylhet",1,1,January Rent ,2000,"Bachelor Seat Rent Sylhet Sadar, Sylhet",Sylhet,1,Sylhet Sadar,Bachelor Seat
"Sylhet Sadar, Sylhet",1,1,January Rent ,1400,"Bachelor Seat Rent Sylhet Sadar, Sylhet",Sylhet,1,Sylhet Sadar,Bachelor Seat
"Sylhet Sadar, Sylhet",2,1,January Rent ,5000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,1,Sylhet Sadar,Family
"Majortila, Sylhet Sadar",2,1,January Rent ,4000,"Family Flat Rent Majortila, Sylhet Sadar",Sylhet,1,Majortila,Family
"Upashahar, Sylhet Sadar",1,1,December Rent ,2500,"Bachelor Seat Rent Upashahar, Sylhet Sadar",Sylhet,12,Upashahar,Bachelor Seat
"Subid Bazar, Sylhet Sadar",2,2,January Rent ,14000,"Family House Rent Subid Bazar, Sylhet Sadar",Sylhet,1,Subid Bazar,Family
"Ambarkhana, Sylhet Sadar",1,1,December Rent ,7000,"Family House Rent Ambarkhana, Sylhet Sadar",Sylhet,12,Ambarkhana,Family
"Sylhet Sadar, Sylhet",2,1,December Rent ,6000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,12,Sylhet Sadar,Family
"Sylhet Sadar, Sylhet",2,1,December Rent ,7500,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,12,Sylhet Sadar,Family
"Sylhet Sadar, Sylhet",1,1,January Rent ,3000,"Bachelor Seat Rent Sylhet Sadar, Sylhet",Sylhet,1,Sylhet Sadar,Bachelor Seat
"Ambarkhana, Sylhet Sadar",2,1,January Rent ,10000,"Family House Rent Ambarkhana, Sylhet Sadar",Sylhet,1,Ambarkhana,Family
"Moulvibazar Sadar, Maulvibazar",2,2,December Rent ,8500,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,12,Moulvibazar Sadar,Family
"Ambarkhana, Sylhet Sadar",1,1,December Rent ,5500,"Bachelor Room Rent Ambarkhana, Sylhet Sadar",Sylhet,12,Ambarkhana,Bachelor Room
"Tultikar, Sylhet Sadar",2,2,December Rent ,10000,"Family House Rent Tultikar, Sylhet Sadar",Sylhet,12,Tultikar,Family
"Moulvibazar Sadar, Maulvibazar",2,1,December Rent ,6000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,12,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,1,December Rent ,7000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,12,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,1,January Rent ,9000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,1,Moulvibazar Sadar,Family
"Sylhet Sadar, Sylhet",1,1,December Rent ,4200,"Bachelor Room Rent Sylhet Sadar, Sylhet",Sylhet,12,Sylhet Sadar,Bachelor Room
"Ambarkhana, Sylhet Sadar",2,1,December Rent ,8000,"Family House Rent Ambarkhana, Sylhet Sadar",Sylhet,12,Ambarkhana,Family
"Kalimabad, Moulvibazar Sadar",1,1,December Rent ,3500,"Bachelor Room Rent Kalimabad, Moulvibazar Sadar",Sylhet,12,Kalimabad,Bachelor Room
"Moulvibazar Sadar, Maulvibazar",2,2,December Rent ,8000,"Family Flat Rent Moulvibazar Sadar, Maulvibazar",Sylhet,12,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,1,December Rent ,5500,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,12,Moulvibazar Sadar,Family
"Ambarkhana, Sylhet Sadar",1,1,December Rent ,1850,"Bachelor Seat Rent Ambarkhana, Sylhet Sadar",Sylhet,12,Ambarkhana,Bachelor Seat
"Sylhet Sadar, Sylhet",0,1,December Rent ,6000,"Sublet Room Rent Sylhet Sadar, Sylhet Room: 1, Bath: 1 To-let from:
                                December Rent : 6000 BDT Save Property Add to Compare",Sylhet,12,Sylhet Sadar,Sublet
"Sylhet Sadar, Sylhet",0,1,November Rent ,5500,"Sublet Room Rent Sylhet Sadar, Sylhet Room: 1, Bath: 1 To-let from:
                                November Rent : 5500 BDT Save Property Add to Compare",Sylhet,11,Sylhet Sadar,Sublet
"Moulvibazar Sadar, Maulvibazar",2,2,December Rent ,6500,"Family Flat Rent Moulvibazar Sadar, Maulvibazar",Sylhet,12,Moulvibazar Sadar,Family
"Zindabazar, Sylhet Sadar",0,2,December Rent ,22000,"Office House Rent Zindabazar, Sylhet Sadar Room: 3, Bath: 2 To-let from:
                                December Rent : 22000 BDT Save Property Add to Compare",Sylhet,12,Zindabazar,Room
"Ambarkhana, Sylhet Sadar",0,1,November Rent ,5500,"Sublet Room Rent Ambarkhana, Sylhet Sadar Room: 1, Bath: 1 To-let from:
                                November Rent : 5500 BDT Save Property Add to Compare",Sylhet,11,Ambarkhana,Sublet
"Moulvibazar Sadar, Maulvibazar",2,2,December Rent ,6000,"Bachelor House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,12,Moulvibazar Sadar,Other
"Moulvibazar Sadar, Maulvibazar",3,2,September Rent ,15000,"Family Unit Rent Moulvibazar Sadar, Maulvibazar",Sylhet,9,Moulvibazar Sadar,Family
"Sylhet Sadar, Sylhet",0,1,November Rent ,6000,"Sublet Room Rent Sylhet Sadar, Sylhet Room: 1, Bath: 1 To-let from:
                                November Rent : 6000 BDT Save Property Add to Compare",Sylhet,11,Sylhet Sadar,Sublet
"Zindabazar, Sylhet Sadar",1,1,November Rent ,1600,"Bachelor Seat Rent Zindabazar, Sylhet Sadar",Sylhet,11,Zindabazar,Bachelor Seat
"Sylhet Sadar, Sylhet",3,2,November Rent ,13000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,11,Sylhet Sadar,Family
"Kalimabad, Moulvibazar Sadar",1,1,November Rent ,6000,"Family House Rent Kalimabad, Moulvibazar Sadar",Sylhet,11,Kalimabad,Family
"Sylhet Sadar, Sylhet",1,1,November Rent ,1750,"Bachelor Seat Rent Sylhet Sadar, Sylhet",Sylhet,11,Sylhet Sadar,Bachelor Seat
"Sylhet Sadar, Sylhet",4,3,November Rent ,22000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,11,Sylhet Sadar,Family
"Subid Bazar, Sylhet Sadar",2,1,November Rent ,11000,"Family House Rent Subid Bazar, Sylhet Sadar",Sylhet,11,Subid Bazar,Family
"Khadim Para, Sylhet Sadar",2,2,November Rent ,11000,"Family House Rent Khadim Para, Sylhet Sadar",Sylhet,11,Khadim Para,Family
"Ambarkhana, Sylhet Sadar",2,1,November Rent ,9500,"Family House Rent Ambarkhana, Sylhet Sadar",Sylhet,11,Ambarkhana,Family
"Sylhet Sadar, Sylhet",3,2,November Rent ,10000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,11,Sylhet Sadar,Family
"Upashahar, Sylhet Sadar",1,1,November Rent ,4500,"Bachelor Room Rent Upashahar, Sylhet Sadar",Sylhet,11,Upashahar,Bachelor Room
"Moulvibazar Sadar, Maulvibazar",3,2,November Rent ,22000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,11,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,1,November Rent ,7000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,11,Moulvibazar Sadar,Family
"Sylhet Sadar, Sylhet",1,1,November Rent ,1700,"Bachelor Seat Rent Sylhet Sadar, Sylhet",Sylhet,11,Sylhet Sadar,Bachelor Seat
"Khadim Para, Sylhet Sadar",3,2,November Rent ,12000,"Family House Rent Khadim Para, Sylhet Sadar",Sylhet,11,Khadim Para,Family
"Borhat, Moulvibazar Sadar",3,2,November Rent ,10500,"Family House Rent Borhat, Moulvibazar Sadar",Sylhet,11,Borhat,Family
"Moulvibazar Sadar, Maulvibazar",2,2,November Rent ,8000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,11,Moulvibazar Sadar,Family
"Shibgonj, Sylhet Sadar",3,3,October Rent ,15000,"Family House Rent Shibgonj, Sylhet Sadar",Sylhet,10,Shibgonj,Family
"Upashahar, Sylhet Sadar",1,1,November Rent ,2300,"Bachelor Seat Rent Upashahar, Sylhet Sadar",Sylhet,11,Upashahar,Bachelor Seat
"Sylhet Sadar, Sylhet",1,1,November Rent ,1900,"Bachelor Seat Rent Sylhet Sadar, Sylhet",Sylhet,11,Sylhet Sadar,Bachelor Seat
"Shibgonj, Sylhet Sadar",2,2,November Rent ,10000,"Family House Rent Shibgonj, Sylhet Sadar",Sylhet,11,Shibgonj,Family
"Ambarkhana, Sylhet Sadar",1,1,November Rent ,2500,"Bachelor Seat Rent Ambarkhana, Sylhet Sadar",Sylhet,11,Ambarkhana,Bachelor Seat
"Ambarkhana, Sylhet Sadar",2,1,November Rent ,10000,"Family House Rent Ambarkhana, Sylhet Sadar",Sylhet,11,Ambarkhana,Family
"Sylhet Sadar, Sylhet",2,1,October Rent ,6000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,10,Sylhet Sadar,Family
"Sylhet Sadar, Sylhet",2,1,October Rent ,6000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,10,Sylhet Sadar,Family
"Sylhet Sadar, Sylhet",2,1,October Rent ,10000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,10,Sylhet Sadar,Family
"Majortila, Sylhet Sadar",2,2,October Rent ,9500,"Family House Rent Majortila, Sylhet Sadar",Sylhet,10,Majortila,Family
"Khasdabir, Sylhet Sadar",2,2,October Rent ,28000,"Family House Rent Khasdabir, Sylhet Sadar",Sylhet,10,Khasdabir,Family
"Kazir Gaon, Moulvibazar Sadar",1,1,October Rent ,3100,"Bachelor Room Rent Kazir Gaon, Moulvibazar Sadar",Sylhet,10,Kazir Gaon,Bachelor Room
"Mira Bazar, Sylhet Sadar",1,1,October Rent ,2500,"Bachelor Seat Rent Mira Bazar, Sylhet Sadar",Sylhet,10,Mira Bazar,Bachelor Seat
"Sylhet Sadar, Sylhet",2,2,October Rent ,9500,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,10,Sylhet Sadar,Family
"Sylhet Sadar, Sylhet",1,1,October Rent ,2200,"Bachelor Seat Rent Sylhet Sadar, Sylhet",Sylhet,10,Sylhet Sadar,Bachelor Seat
"Mira Bazar, Sylhet Sadar",1,1,October Rent ,3250,"Bachelor Seat Rent Mira Bazar, Sylhet Sadar",Sylhet,10,Mira Bazar,Bachelor Seat
"Moulvibazar Sadar, Maulvibazar",2,2,November Rent ,10000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,11,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",3,2,October Rent ,11500,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,10,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",3,2,October Rent ,8500,"Family Flat Rent Moulvibazar Sadar, Maulvibazar",Sylhet,10,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,1,October Rent ,5000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,10,Moulvibazar Sadar,Family
"Ambarkhana, Sylhet Sadar",2,1,October Rent ,7000,"Family House Rent Ambarkhana, Sylhet Sadar",Sylhet,10,Ambarkhana,Family
"Sylhet Sadar, Sylhet",0,1,October Rent ,5000,"Sublet Room Rent Sylhet Sadar, Sylhet Room: 1, Bath: 1 To-let from:
                                October Rent : 5000 BDT Save Property Add to Compare",Sylhet,10,Sylhet Sadar,Sublet
"Sylhet Sadar, Sylhet",1,1,October Rent ,1750,"Bachelor Seat Rent Sylhet Sadar, Sylhet",Sylhet,10,Sylhet Sadar,Bachelor Seat
"Sylhet Sadar, Sylhet",2,2,October Rent ,8000,"Family House Rent Sylhet Sadar, Sylhet",Sylhet,10,Sylhet Sadar,Family
"Moulvibazar Sadar, Maulvibazar",2,2,October Rent ,8500,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,10,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",3,2,October Rent ,14000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,10,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",1,1,October Rent ,5000,"Bachelor Room Rent Moulvibazar Sadar, Maulvibazar",Sylhet,10,Moulvibazar Sadar,Bachelor Room
"Moulvibazar Sadar, Maulvibazar",2,1,October Rent ,6500,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,10,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",1,1,October Rent ,4200,"Bachelor House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,10,Moulvibazar Sadar,Other
"Moulvibazar Sadar, Maulvibazar",3,2,October Rent ,12000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,10,Moulvibazar Sadar,Family
"Shibgonj, Sylhet Sadar",3,3,October Rent ,16000,"Family House Rent Shibgonj, Sylhet Sadar",Sylhet,10,Shibgonj,Family
"Kazir Gaon, Moulvibazar Sadar",2,1,September Rent ,7000,"Family House Rent Kazir Gaon, Moulvibazar Sadar",Sylhet,9,Kazir Gaon,Family
"Moulvibazar Sadar, Maulvibazar",2,1,September Rent ,8000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,9,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",3,3,September Rent ,12000,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,9,Moulvibazar Sadar,Family
"Moulvibazar Sadar, Maulvibazar",1,1,September Rent ,3500,"Family House Rent Moulvibazar Sadar, Maulvibazar",Sylhet,9,Moulvibazar Sadar,Family
"Zindabazar, Sylhet Sadar",3,2,August Rent ,32000,"Family House Rent Zindabazar, Sylhet Sadar",Sylhet,8,Zindabazar,Family
